CNTSTUID,NatCen,PV1MATH,PV1READ,PV1SCIE,Nivel,Modalidad,Sostenimiento,W_FSTUWT
48400008,048400,376.53,461.464,434.717,1,1,1,99.96924
48400043,048400,447.39,506.115,475.358,1,1,1,316.875
48400055,048400,453.731,471.552,439.309,1,1,1,135.3591
48400070,048400,331.315,438.826,391.205,1,1,1,135.1097
48400076,048400,319.119,293.098,306.529,1,1,1,175.1241
48400078,048400,429.642,447.861,421.201,1,1,1,205.0766
48400111,048400,412.07,443.137,411.014,1,1,1,173.4277
48400112,048400,380.32,372.794,384.341,1,1,1,135.3591
48400113,048400,273.699,385.996,366.127,1,1,1,135.3591
48400124,048400,317.816,413.104,434.571,1,1,1,153.9643
48400151,048400,409.538,418.305,449.755,1,1,1,287.2054
48400153,048400,419.974,375.183,390.74,1,1,1,143.8677
48400160,048400,484.626,491.517,489.574,1,1,1,290.7794
48400162,048400,205.079,242.96,253.902,1,1,1,165.7533
48400167,048400,429.043,388.804,381.384,1,1,1,207.6887
48400185,048400,340.4,332.413,343.182,1,1,1,342.225
48400190,048400,367.164,461.68,402.035,1,1,1,208.6716
48400193,048400,344.184,330.806,394.511,1,1,1,153.9643
48400200,048400,309.957,315.098,309.833,1,1,1,285.3283
48400201,048400,356.213,405.243,364.466,1,1,1,222.6493
48400211,048400,393.215,455.284,443.261,1,1,1,316.875
48400212,048400,390.558,482.639,414.499,1,1,1,204.4903
48400218,048400,235.819,295.022,256.772,1,1,1,146.2412
48400229,048400,396.566,405.573,348.73,1,1,1,190.8042
48400248,048400,396.489,459.353,438.217,1,1,1,140.2333
48400250,048400,341.755,406.417,400.447,1,1,1,221.1183
48400268,048400,417.339,412.8,362.231,1,1,1,290.7794
48400282,048400,358.884,342.296,389.106,1,1,1,207.6887
48400298,048400,347.449,426.485,422.174,1,1,1,143.8677
48400328,048400,472.423,413.519,492.87,1,1,1,316.875
48400329,048400,381.806,431.348,408.734,1,1,1,170.1711
48400335,048400,411.918,378.236,420.7,1,1,1,35.03068
48400343,048400,242.792,251.958,239.952,1,1,1,285.2242
48400345,048400,437.741,341.495,413.728,1,1,1,189.9446
48400353,048400,313.989,350.753,364.819,1,1,1,153.9643
48400358,048400,412.827,465.336,493.854,1,1,1,124.7909
48400365,048400,351.157,285.415,364.163,1,1,1,213.1114
48400375,048400,262.039,283.422,311.908,1,1,1,205.0766
48400381,048400,370.791,354.81,314.963,1,1,1,142.0532
48400384,048400,401.513,392.627,436.695,1,1,1,190.3523
48400394,048400,407.364,451.636,452.742,1,1,1,304.0179
48400395,048400,242.811,320.707,322.792,1,1,1,124.7909
48400398,048400,454.461,469.101,481.949,1,1,1,231.1132
48400403,048400,274.669,285.149,299.996,1,1,1,142.1044
48400405,048400,277.121,157.886,245.37,1,1,1,153.9643
48400429,048400,300.89,313.541,311.444,1,1,1,153.9643
48400447,048400,319.561,354.245,308.421,1,1,1,180.5201
48400449,048400,275.439,361.416,320.243,1,1,1,313.3965
48400453,048400,434.72,354.007,440.799,1,1,1,39.5505
48400471,048400,439.801,410.769,472.638,1,1,1,204.3627
48400477,048400,441.962,483.394,429.838,1,1,1,190.8042
48400505,048400,369.433,398.64,395.038,1,1,1,194.4909
48400513,048400,480.341,552.902,495.529,1,1,1,247.2784
48400531,048400,388.715,350.34,367.701,1,1,1,246.7407
48400553,048400,300.379,339.666,294.511,1,1,1,285.2242
48400559,048400,313.845,375.049,329.1,1,1,1,153.9643
48400571,048400,445.453,454.049,359.484,1,1,1,180.5201
48400575,048400,274.123,321.792,370.562,1,1,1,170.1711
48400586,048400,346.913,391.003,415.736,1,1,1,190.3523
48400593,048400,540.729,460.227,528.297,1,1,1,287.2054
48400608,048400,344.42,354.768,353.48,1,1,1,165.7533
48400610,048400,510.273,528.28,560.391,1,1,1,290.7794
48400612,048400,495.441,486.602,409.483,1,1,1,153.9643
48400614,048400,324.782,413.732,376.073,1,1,1,99.96924
