"";"Fecha";"Cierre";"Apertura";"Máximo";"Mínimo";"Vol.";"% var."
"1";"17.09.2021";146,06;148,82;148,82;145,76;"129.87M";-0,0183
"2";"16.09.2021";148,79;148,44;148,97;147,22;"67.88M";-0,0016
"3";"15.09.2021";149,03;148,56;149,44;146,37;"81.63M";0,0061
"4";"14.09.2021";148,12;150,35;151,07;146,91;"108.41M";-0,0096
"5";"13.09.2021";149,55;150,63;151,42;148,75;"97.79M";0,0039
"6";"10.09.2021";148,97;155;155,48;148,7;"140.89M";-0,0331
"7";"09.09.2021";154,07;155,49;156,11;153,95;"56.21M";-0,0067
"8";"08.09.2021";155,11;156,98;157,04;153,98;"74.10M";-0,0101
"9";"07.09.2021";156,69;154,97;157,26;154,39;"81.67M";0,0155
"10";"03.09.2021";154,3;153,76;154,63;153,09;"57.87M";0,0042
"11";"02.09.2021";153,65;153,87;154,72;152,4;"70.91M";0,0075
"12";"01.09.2021";152,51;152,83;154,98;152,34;"80.31M";0,0045
"13";"31.08.2021";151,83;152,66;152,8;151,29;"86.19M";-0,0084
"14";"30.08.2021";153,12;149;153,49;148,61;"90.24M";0,0304
"15";"27.08.2021";148,6;147,48;148,75;146,83;"55.80M";0,0072
"16";"26.08.2021";147,54;148,35;149,12;147,51;"48.24M";-0,0055
"17";"25.08.2021";148,36;149,81;150,32;147,8;"58.87M";-0,0084
"18";"24.08.2021";149,62;149,45;150,86;149,15;"48.48M";-6e-04
"19";"23.08.2021";149,71;148,31;150,19;147,89;"59.08M";0,0103
"20";"20.08.2021";148,19;147,44;148,5;146,78;"60.55M";0,0102
"21";"19.08.2021";146,7;145,03;148;144,5;"85.92M";0,0023
"22";"18.08.2021";146,36;149,8;150,72;146,15;"84.52M";-0,0255
"23";"17.08.2021";150,19;150,23;151,68;149,09;"91.71M";-0,0062
"24";"16.08.2021";151,12;148,54;151,19;146,47;"101.07M";0,0135
"25";"13.08.2021";149,1;148,97;149,44;148,27;"59.38M";0,0014
"26";"12.08.2021";148,89;146,19;149,05;145,84;"72.27M";0,0208
"27";"11.08.2021";145,86;146,05;146,72;145,53;"48.36M";0,0018
"28";"10.08.2021";145,6;146,49;147,7;145,31;"69.02M";-0,0034
"29";"09.08.2021";146,09;146,23;146,67;145,53;"48.91M";-3e-04
"30";"06.08.2021";146,14;146,35;147,11;145,63;"54.13M";-0,0063
"31";"05.08.2021";147,06;146,9;147,84;146,23;"46.40M";7e-04
"32";"04.08.2021";146,95;147,18;147,77;146,28;"56.37M";-0,0028
"33";"03.08.2021";147,36;145,81;148,02;145,19;"64.79M";0,0126
"34";"02.08.2021";145,52;146,48;146,92;145,29;"62.88M";-0,0023
"35";"30.07.2021";145,86;144,38;146,33;144,11;"70.44M";0,0015
"36";"29.07.2021";145,64;144,67;146,54;144,63;"56.70M";0,0046
"37";"28.07.2021";144,98;144,79;146,92;142,62;"118.93M";-0,0122
"38";"27.07.2021";146,77;149,06;149,16;145,57;"104.82M";-0,0149
"39";"26.07.2021";148,99;148,25;149,82;147,75;"72.43M";0,0029
"40";"23.07.2021";148,56;147,55;148,72;146,92;"71.45M";0,012
"41";"22.07.2021";146,8;145,94;148,19;145,81;"77.34M";0,0096
"42";"21.07.2021";145,4;145,53;146,13;144,63;"74.99M";-0,0051
"43";"20.07.2021";146,15;143,46;147,1;142,96;"96.35M";0,026
"44";"19.07.2021";142,45;143,75;144,07;141,67;"121.43M";-0,0269
"45";"16.07.2021";146,39;148,46;149,76;145,88;"93.25M";-0,0141
"46";"15.07.2021";148,48;149,25;149,98;147,1;"106.82M";-0,0045
"47";"14.07.2021";149,15;148;149,57;147,7;"127.05M";0,0241
"48";"13.07.2021";145,64;143,7;147,46;143,7;"100.83M";0,0079
"49";"12.07.2021";144,5;146,22;146,22;144,04;"76.30M";-0,0042
"50";"09.07.2021";145,11;142,75;145,65;142,65;"99.89M";0,0131
"51";"08.07.2021";143,24;141,49;144,05;140,69;"105.58M";-0,0092
"52";"07.07.2021";144,57;143,58;144,88;142,74;"104.91M";0,018
"53";"06.07.2021";142,02;140,17;143,11;140,15;"108.18M";0,0147
"54";"02.07.2021";139,96;137,9;140;137,74;"78.95M";0,0196
"55";"01.07.2021";137,27;136,68;137,3;135,77;"52.49M";0,0023
"56";"30.06.2021";136,96;136,13;137,38;135,89;"63.26M";0,0046
"57";"29.06.2021";136,33;134,82;136,49;134,38;"64.56M";0,0115
"58";"28.06.2021";134,78;133,46;135,24;133,46;"62.11M";0,0125
"59";"25.06.2021";133,11;133,46;133,89;132,81;"70.78M";-0,0022
"60";"24.06.2021";133,41;134,45;134,51;132,94;"68.71M";-0,0022
"61";"23.06.2021";133,7;133,87;134,31;133,24;"60.21M";-0,0021
"62";"22.06.2021";133,98;132,09;134,08;131,64;"74.78M";0,0127
"63";"21.06.2021";132,3;130,3;132,41;129,21;"79.66M";0,0141
"64";"18.06.2021";130,46;130,71;131,51;130,24;"108.95M";-0,0101
"65";"17.06.2021";131,79;129,94;132,54;129,66;"96.72M";0,0126
